ID,ID-Admin,Name,Address,Location,Price,Cuisine,Longitude,Latitude,delivery,online
MIC-012680,ADM-000001,Da Oscar,"via Barcuzzi 16, Barcuzzi, 25017, Italy","Barcuzzi, Italy",€€,Mediterranean Cuisine,82804.01.00,81555.09.00,no,no
MIC-012681,ADM-000001,Il Cascinalenuovo,"SS 231 Asti-Alba 15, Isola d'Asti, 14057, Italy","Isola d'Asti, Italy",€€€,"Piedmontese, Modern Cuisine",28244.26.00,137777.37.00,sì,sì
MIC-012682,ADM-000001,Da Fausto,"piazza Cesare Beccaria 6, Fondi, 04022, Italy","Fondi, Italy",€€,"Country cooking, Modern Cuisine",70607.27.00,6063.19.00,no,no
MIC-012683,ADM-000001,Al Grop,"via Matteotti 7, Tavagnacco, 33010, Italy","Tavagnacco, Italy",€€,"Traditional Cuisine, Classic Cuisine",34766.45.00,21073.04.00,sì,sì
MIC-012684,ADM-000001,Canapone,"piazza Dante 3, Grosseto, 58100, Italy","Grosseto, Italy",€€,"Classic Cuisine, Seafood",19023.41.00,126591.53.00,no,no
MIC-012685,ADM-000001,Antica Osteria del Mirasole,"via Matteotti 17/a, San Giovanni in Persiceto, 40017, Italy","San Giovanni in Persiceto, Italy",€€,Emilian,30957.24.00,106540.12.00,sì,sì
MIC-012686,ADM-000001,Il Sanlorenzo,"via dei Chiavari 4/5, Rome, 00186, Italy","Rome, Italy",€€€€,"Seafood, Mediterranean Cuisine",79043.08.00,149257.42.00,no,no
MIC-012687,ADM-000001,El Primero,"largo Umberto Boccioni 3, Origgio, 21040, Italy","Origgio, Italy",€,"South American, Grills",4291.39.00,10082.19.00,sì,sì
MIC-012688,ADM-000001,Don Camillo,"via Maestranza 96, Ortigia, Syracuse, 96100, Italy","Syracuse, Italy",€€€,"Sicilian, Modern Cuisine",49465.23.00,10164.49.00,no,no
MIC-012689,ADM-000001,Dim Sum,"via Nino Bixio 29, Milan, 20129, Italy","Milan, Italy",€€€,"Cantonese, Contemporary",35189.53.00,78783.19.00,sì,sì
MIC-012690,ADM-000001,Hostaria Uva Rara,"via Foina 42, Monticelli Brusati, 25040, Italy","Monticelli Brusati, Italy",€€,"Country cooking, Traditional Cuisine",176.24.00,1106.31.00,no,no
MIC-012691,ADM-000001,La Ferrata,"via Gorizia 7, Pordenone, 33170, Italy","Pordenone, Italy",€€,Regional Cuisine,109936.31.00,15959.35.00,sì,sì
MIC-012692,ADM-000001,Il Tufo Allegro,"vicolo della Costituzione 5, Pitigliano, 58017, Italy","Pitigliano, Italy",€€,Tuscan,111190.53.00,105705.31.00,no,no
MIC-012693,ADM-000001,Sa Musciara,"lungomare C. Colombo 15, Portoscuso, 09010, Italy","Portoscuso, Italy",€€,Seafood,63195.38.00,33909.05.00,sì,sì
MIC-012694,ADM-000001,Durnwald,"via Nikolaus Amhof 6, località Durna in Selva, Gsies, 39030, Italy","Gsies, Italy",€€,"Regional Cuisine, Traditional Cuisine",29833.04.00,12839.13.00,no,no
MIC-012695,ADM-000001,Tanzer,"via del Paese 1, Issengo, 39030, Italy","Issengo, Italy",€€€,Creative,143729.46.00,135882.47.00,sì,sì
MIC-012696,ADM-000001,La Péniche,"via Lungo Brugiano 3, Marina di Massa, 54100, Italy","Marina di Massa, Italy",€€,"Seafood, Mediterranean Cuisine",16511.17.00,1809.09.00,no,no
MIC-012697,ADM-000001,Il Cipresso - Da Cioni,"via Alcide De Gasperi 28, Loro Ciuffenna, 52024, Italy","Loro Ciuffenna, Italy",€€,"Tuscan, Traditional Cuisine",104523.11.00,98092.22.00,sì,sì
MIC-012698,ADM-000001,Bove's,"via Dronero 2/b, Cuneo, 12100, Italy","Cuneo, Italy",€€,Meats and Grills,9173.14.00,6587.48.00,no,no
MIC-012699,ADM-000001,QB DuePuntoZero,"via Pietro da Salò 23, Salò, 25087, Italy","Salò, Italy",€€€,"Modern Cuisine, Contemporary",86671.31.00,100670.58.00,sì,sì
MIC-012700,ADM-000001,Bistrot Donatella,"piazza Umberto I 1, Oviglio, 15026, Italy","Oviglio, Italy",€€,"Piedmontese, Traditional Cuisine",8124.25.00,143393.34.00,no,no
MIC-012701,ADM-000001,La Masseria,"via Chiesa 61, località Marzaglia, Modena, 41123, Italy","Modena, Italy",€€,"Apulian, Traditional Cuisine",1354.54.00,152.33.00,sì,sì
MIC-012702,ADM-000001,Innocenti Evasioni,"via Giuseppe Candiani 66, Milan, 20158, Italy","Milan, Italy",€€€,"Modern Cuisine, Mediterranean Cuisine",28115.06.00,84126.52.00,no,no
MIC-012703,ADM-000001,Winter Garden Florence,"piazza Ognissanti 1, Florence, 50123, Italy","Florence, Italy",€€€€,Mediterranean Cuisine,40860.48.00,128737.56.00,sì,sì
MIC-012704,ADM-000001,L'Oste Scuro,"vicolo San Silvestro 10, Verona, 37122, Italy","Verona, Italy",€€€,"Seafood, Modern Cuisine",164686.13.00,73092.56.00,no,no
